Key	English	Chinese (Simplified)
CoreEnhance/Switch/Accelerate/Portal	Portal	传送点
CoreEnhance/Switch/Accelerate/Level	Level	等级
CoreEnhance/Switch/Accelerate/Level/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Accelerate/Level	Exp Multiplier	经验值倍率
CoreEnhance/Switch/Automation/Salvage	Salvage	拆解
CoreEnhance/Switch/Automation/Salvage/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Automation/SalvageAmount	Auto Salvage Amount	自动拆解数量
CoreEnhance/Value/Automation/SalvageAmount/Description	"Detection quantity
When the number of items in the salvage station is greater than or equal to the detection quantity, the auto salvage countdown begins"	拆解台内物品数达到数量开始拆解倒计时
CoreEnhance/Value/Automation/SalvageTimer	Auto Salvage Timer	自动拆解倒计时
CoreEnhance/Value/Automation/SalvageTimer/Description	The countdown time for auto salvage after the quantity is met	数量达标后执行拆解的倒计时长
CoreEnhance/Switch/Automation/Door	Door	门
CoreEnhance/Switch/Automation/FishingNetNoCritter	Fishing net not need bait	渔网无需诱饵
CoreEnhance/Switch/Automation/FishingNetNoCritter/Description	If the fishing net slot is empty, a  bait will be automatically filled	如果渔网栏位是空，将自动填入一份诱饵
CoreEnhance/Switch/Automation/FishingNetCanGetItem	Fishing net can get item	渔网可捕捞物品
CoreEnhance/Switch/Automation/FishingNetCanGetItem/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Automation/FishingNetCanGetItem	Fishing net get item chance	渔网捕捞物品概率
CoreEnhance/Switch/Automation/GoldenPlantToSeed	Golden Plant To Seed	金色作物回收种子
CoreEnhance/Switch/Automation/GoldenPlantToSeed/Description	"Putting golden plants into the seed extractor produces seeds, instead of gold ore
This entry has additional configs"	"将金色作物放入种子提取器后产出的是种子而不是金矿
这个条目有额外配置"
CoreEnhance/Value/Automation/GoldenPlantToSeed	Golden Plant Extra Seed	金作物额外种子
CoreEnhance/Value/Automation/GoldenPlantToSeed/Description	The extra amount of seeds produced after placing golden plants into the seed extractor	将金色作物放入种子提取器后额外产出种子的数量
CoreEnhance/Switch/Automation/GiveExp	Give Exp	给予经验
CoreEnhance/Switch/Automation/GiveExp/Description	Whether the Auto Fisher or the Verdant Crystal will give the closest player exp	自动钓鱼机或繁茂水晶是否给离得最近的玩家对应技能经验值
CoreEnhance/Value/Automation/GiveExpGardening	Chance of  get Gardening Exp	给予种植经验的概率
CoreEnhance/Value/Automation/GiveExpGardening/Description	The chance of giving the closest player gardening skill exp when the Verdant Crystal harvests crops	当繁茂水晶收获或累加作物时给予离得最近的玩家园艺经验的概率
CoreEnhance/Value/Automation/GiveExpFishing	Chance of  get Fishing Exp	给予钓鱼经验的概率
CoreEnhance/Value/Automation/GiveExpFishing/Description	The chance of giving the closest player fishing skill exp when the Auto Fisher catches something	当自动钓鱼机钓到战利品时给予离得最近的玩家钓鱼经验的概率
CoreEnhance/Switch/Pet/TalentDisplay	Talents Display	技能显示
CoreEnhance/Switch/Pet/TalentDisplay/Description	"When the mouse hovers a pet,
a statistic showing the number of the pet's talents
will be added to its item description"	"当鼠标悬浮在一个宠物上时
在其物品描述中追加显示宠物的技能数量统计"
CoreEnhance/Switch/Pet/ResetSkin	Reset Skin	重置皮肤
CoreEnhance/Switch/Pet/ResetSkin/Description	"Right-click the ""Reset Pet Talents"" button to use this function, requires 200 Ancient Coins
This function is ineffective for pets with only one skin color"	"右键点击“重置宠物技能”按钮来使用此功能，需要200上古钱币
对仅有一个皮肤颜色的宠物无效"
CoreEnhance/Switch/Pet/RollSkill	Reset Talents	重置天赋
CoreEnhance/Switch/Pet/RollSkill/Description	"Prerequisite:  Hold down any modifier key (Shift, Ctrl, Alt)
Right-click the ""Reset Pet Talents"" button to reroll all talents, costing 200 Ancient Coins
Left-click a single pet talent to reroll that talent, costing 100 Beast Booster"	"按住任意修饰键（Shift，Ctrl，Alt）后
右键点击“重置宠物天赋”按钮将重新随机所有天赋，消耗200上古钱币
左键点击单个宠物天赋将单个重新随机，消耗100野兽能量糖"
CoreEnhance/Switch/Misc/IgnoreRayChecksForPickup	Ignore pickup occlusion detection	忽略拾取阻挡检测
CoreEnhance/Switch/Misc/DeathNoDrop	Keep Loot on Death	死亡不掉落
CoreEnhance/Switch/Misc/ChainMining	Vine Miner	连锁挖矿
CoreEnhance/Switch/Misc/ChainMining/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Switch/Misc/ContainerDisplay	Container Display	容器显示
CoreEnhance/Switch/Misc/ContainerDisplay/Description	Whether when holding keybind (default: Left Alt, customizable) and hovering over an item, it will highlight nearby containers containing the item you hover.	当附近容器内有鼠标指向物品时高亮容器
CoreEnhance/Value/Misc/ChainMiningAdsorption	Absorb Chain Loot	吸附连锁战利品
CoreEnhance/Value/Misc/ChainMiningAdsorption/Description	Whether the drops from chain mining will be automatically put in the players inventory or if it drops on the ground.	连锁挖矿掉落的战利品是否会被玩家吸附
CoreEnhance/Value/Misc/ChainMiningNeedPlayer	Chain Mining Requires Player	必须由玩家连锁
CoreEnhance/Value/Misc/ChainMiningNeedPlayer/Description	Whether or not a player is required to Chain Mine.	是否必须由玩家造成伤害才能连锁
CoreEnhance/Value/Misc/ChainMiningGiveExp	Chain Mining Give Exp	连锁挖矿提供经验
CoreEnhance/Switch/Misc/ChainWood	Chain Wood	连锁木头
CoreEnhance/Switch/Misc/ModifySledgeRange	Modify Sledge Attack Range	修改大锤攻击范围
CoreEnhance/Switch/Misc/ModifySledgeRange/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Misc/ModifySledgeRange	Sledge Attack Range	大锤攻击范围
CoreEnhance/Value/Misc/ModifySledgeRange/Description	This is radius	这是半径
